fund_id,fund_name,fund_manager,total_assets,equities_pct,bonds_pct,cash_pct,expense_ratio,efficiency_score
1,Nigerian ETF Fund 1,Asset Manager 2,50000000,60,25,5,0.5,80
2,Nigerian ETF Fund 2,Asset Manager 3,52000000,61,26,6,0.51,81
3,Nigerian ETF Fund 3,Asset Manager 4,54000000,62,27,7,0.52,82
4,Nigerian ETF Fund 4,Asset Manager 5,56000000,63,28,8,0.53,83
5,Nigerian ETF Fund 5,Asset Manager 6,58000000,64,29,9,0.54,84
6,Nigerian ETF Fund 6,Asset Manager 7,60000000,65,30,10,0.55,85
7,Nigerian ETF Fund 7,Asset Manager 8,62000000,66,31,11,0.56,86
8,Nigerian ETF Fund 8,Asset Manager 9,64000000,67,32,12,0.5700000000000001,87
9,Nigerian ETF Fund 9,Asset Manager 10,66000000,68,33,13,0.58,88
10,Nigerian ETF Fund 10,Asset Manager 11,68000000,69,34,14,0.59,89
11,Nigerian ETF Fund 11,Asset Manager 12,70000000,70,35,5,0.6,90
12,Nigerian ETF Fund 12,Asset Manager 13,72000000,71,36,6,0.61,91
13,Nigerian ETF Fund 13,Asset Manager 14,74000000,72,37,7,0.62,92
14,Nigerian ETF Fund 14,Asset Manager 15,76000000,73,38,8,0.63,93
15,Nigerian ETF Fund 15,Asset Manager 1,78000000,74,39,9,0.64,94
16,Nigerian ETF Fund 16,Asset Manager 2,80000000,75,40,10,0.5,95
17,Nigerian ETF Fund 17,Asset Manager 3,82000000,76,41,11,0.51,96
18,Nigerian ETF Fund 18,Asset Manager 4,84000000,77,42,12,0.52,97
19,Nigerian ETF Fund 19,Asset Manager 5,86000000,78,43,13,0.53,98
20,Nigerian ETF Fund 20,Asset Manager 6,88000000,79,44,14,0.54,99
21,Nigerian ETF Fund 21,Asset Manager 7,90000000,80,25,5,0.55,80
22,Nigerian ETF Fund 22,Asset Manager 8,92000000,81,26,6,0.56,81
23,Nigerian ETF Fund 23,Asset Manager 9,94000000,82,27,7,0.5700000000000001,82
24,Nigerian ETF Fund 24,Asset Manager 10,96000000,83,28,8,0.58,83
25,Nigerian ETF Fund 25,Asset Manager 11,98000000,84,29,9,0.59,84
26,Nigerian ETF Fund 26,Asset Manager 12,100000000,85,30,10,0.6,85
27,Nigerian ETF Fund 27,Asset Manager 13,102000000,86,31,11,0.61,86
28,Nigerian ETF Fund 28,Asset Manager 14,104000000,87,32,12,0.62,87
29,Nigerian ETF Fund 29,Asset Manager 15,106000000,88,33,13,0.63,88
30,Nigerian ETF Fund 30,Asset Manager 1,108000000,89,34,14,0.64,89
31,Nigerian ETF Fund 31,Asset Manager 2,110000000,60,35,5,0.5,90
32,Nigerian ETF Fund 32,Asset Manager 3,112000000,61,36,6,0.51,91
33,Nigerian ETF Fund 33,Asset Manager 4,114000000,62,37,7,0.52,92
34,Nigerian ETF Fund 34,Asset Manager 5,116000000,63,38,8,0.53,93
35,Nigerian ETF Fund 35,Asset Manager 6,118000000,64,39,9,0.54,94
36,Nigerian ETF Fund 36,Asset Manager 7,120000000,65,40,10,0.55,95
37,Nigerian ETF Fund 37,Asset Manager 8,122000000,66,41,11,0.56,96
38,Nigerian ETF Fund 38,Asset Manager 9,124000000,67,42,12,0.5700000000000001,97
39,Nigerian ETF Fund 39,Asset Manager 10,126000000,68,43,13,0.58,98
40,Nigerian ETF Fund 40,Asset Manager 11,128000000,69,44,14,0.59,99
41,Nigerian ETF Fund 41,Asset Manager 12,130000000,70,25,5,0.6,80
42,Nigerian ETF Fund 42,Asset Manager 13,132000000,71,26,6,0.61,81
43,Nigerian ETF Fund 43,Asset Manager 14,134000000,72,27,7,0.62,82
44,Nigerian ETF Fund 44,Asset Manager 15,136000000,73,28,8,0.63,83
45,Nigerian ETF Fund 45,Asset Manager 1,138000000,74,29,9,0.64,84
46,Nigerian ETF Fund 46,Asset Manager 2,140000000,75,30,10,0.5,85
47,Nigerian ETF Fund 47,Asset Manager 3,142000000,76,31,11,0.51,86
48,Nigerian ETF Fund 48,Asset Manager 4,144000000,77,32,12,0.52,87
49,Nigerian ETF Fund 49,Asset Manager 5,146000000,78,33,13,0.53,88
50,Nigerian ETF Fund 50,Asset Manager 6,148000000,79,34,14,0.54,89
51,Nigerian ETF Fund 51,Asset Manager 7,150000000,80,35,5,0.55,90
52,Nigerian ETF Fund 52,Asset Manager 8,152000000,81,36,6,0.56,91
53,Nigerian ETF Fund 53,Asset Manager 9,154000000,82,37,7,0.5700000000000001,92
54,Nigerian ETF Fund 54,Asset Manager 10,156000000,83,38,8,0.58,93
55,Nigerian ETF Fund 55,Asset Manager 11,158000000,84,39,9,0.59,94
56,Nigerian ETF Fund 56,Asset Manager 12,160000000,85,40,10,0.6,95
57,Nigerian ETF Fund 57,Asset Manager 13,162000000,86,41,11,0.61,96
58,Nigerian ETF Fund 58,Asset Manager 14,164000000,87,42,12,0.62,97
59,Nigerian ETF Fund 59,Asset Manager 15,166000000,88,43,13,0.63,98
60,Nigerian ETF Fund 60,Asset Manager 1,168000000,89,44,14,0.64,99
61,Nigerian ETF Fund 61,Asset Manager 2,170000000,60,25,5,0.5,80
62,Nigerian ETF Fund 62,Asset Manager 3,172000000,61,26,6,0.51,81
63,Nigerian ETF Fund 63,Asset Manager 4,174000000,62,27,7,0.52,82
64,Nigerian ETF Fund 64,Asset Manager 5,176000000,63,28,8,0.53,83
65,Nigerian ETF Fund 65,Asset Manager 6,178000000,64,29,9,0.54,84
66,Nigerian ETF Fund 66,Asset Manager 7,180000000,65,30,10,0.55,85
67,Nigerian ETF Fund 67,Asset Manager 8,182000000,66,31,11,0.56,86
68,Nigerian ETF Fund 68,Asset Manager 9,184000000,67,32,12,0.5700000000000001,87
69,Nigerian ETF Fund 69,Asset Manager 10,186000000,68,33,13,0.58,88
70,Nigerian ETF Fund 70,Asset Manager 11,188000000,69,34,14,0.59,89
71,Nigerian ETF Fund 71,Asset Manager 12,190000000,70,35,5,0.6,90
72,Nigerian ETF Fund 72,Asset Manager 13,192000000,71,36,6,0.61,91
73,Nigerian ETF Fund 73,Asset Manager 14,194000000,72,37,7,0.62,92
74,Nigerian ETF Fund 74,Asset Manager 15,196000000,73,38,8,0.63,93
75,Nigerian ETF Fund 75,Asset Manager 1,198000000,74,39,9,0.64,94
76,Nigerian ETF Fund 76,Asset Manager 2,200000000,75,40,10,0.5,95
77,Nigerian ETF Fund 77,Asset Manager 3,202000000,76,41,11,0.51,96
78,Nigerian ETF Fund 78,Asset Manager 4,204000000,77,42,12,0.52,97
79,Nigerian ETF Fund 79,Asset Manager 5,206000000,78,43,13,0.53,98
80,Nigerian ETF Fund 80,Asset Manager 6,208000000,79,44,14,0.54,99
81,Nigerian ETF Fund 81,Asset Manager 7,210000000,80,25,5,0.55,80
82,Nigerian ETF Fund 82,Asset Manager 8,212000000,81,26,6,0.56,81
83,Nigerian ETF Fund 83,Asset Manager 9,214000000,82,27,7,0.5700000000000001,82
84,Nigerian ETF Fund 84,Asset Manager 10,216000000,83,28,8,0.58,83
85,Nigerian ETF Fund 85,Asset Manager 11,218000000,84,29,9,0.59,84
86,Nigerian ETF Fund 86,Asset Manager 12,220000000,85,30,10,0.6,85
87,Nigerian ETF Fund 87,Asset Manager 13,222000000,86,31,11,0.61,86
88,Nigerian ETF Fund 88,Asset Manager 14,224000000,87,32,12,0.62,87
89,Nigerian ETF Fund 89,Asset Manager 15,226000000,88,33,13,0.63,88
90,Nigerian ETF Fund 90,Asset Manager 1,228000000,89,34,14,0.64,89
91,Nigerian ETF Fund 91,Asset Manager 2,230000000,60,35,5,0.5,90
92,Nigerian ETF Fund 92,Asset Manager 3,232000000,61,36,6,0.51,91
