fund_name,fund_manager,total_assets,expense_ratio
Nigerian ETF Fund 257,Asset Manager 3,562000000,0.51
Nigerian ETF Fund 256,Asset Manager 2,560000000,0.5
Nigerian ETF Fund 255,Asset Manager 1,558000000,0.64
Nigerian ETF Fund 254,Asset Manager 15,556000000,0.63
Nigerian ETF Fund 253,Asset Manager 14,554000000,0.62
Nigerian ETF Fund 252,Asset Manager 13,552000000,0.61
Nigerian ETF Fund 251,Asset Manager 12,550000000,0.6
Nigerian ETF Fund 250,Asset Manager 11,548000000,0.59
Nigerian ETF Fund 249,Asset Manager 10,546000000,0.58
Nigerian ETF Fund 248,Asset Manager 9,544000000,0.5700000000000001
Nigerian ETF Fund 247,Asset Manager 8,542000000,0.56
Nigerian ETF Fund 246,Asset Manager 7,540000000,0.55
Nigerian ETF Fund 245,Asset Manager 6,538000000,0.54
Nigerian ETF Fund 244,Asset Manager 5,536000000,0.53
Nigerian ETF Fund 243,Asset Manager 4,534000000,0.52
Nigerian ETF Fund 242,Asset Manager 3,532000000,0.51
Nigerian ETF Fund 241,Asset Manager 2,530000000,0.5
Nigerian ETF Fund 240,Asset Manager 1,528000000,0.64
Nigerian ETF Fund 239,Asset Manager 15,526000000,0.63
Nigerian ETF Fund 238,Asset Manager 14,524000000,0.62
